time,data,src
34594337844.87276,pts={38|-37:64|-32:77|-16:59|11:23|-3}|label=henry_waypt_survey|label_color=white|edge_color=white|vertex_color=dodger_blue|vertex_size=5|edge_size=1,pHelmIvP:1:waypt_survey
34594337844.87276,pts={38|-37:64|-32:77|-16:59|11:23|-3}|label=henry_waypt_survey|label_color=white|edge_color=white|vertex_color=dodger_blue|vertex_size=5|edge_size=1,pHelmIvP:1:waypt_survey
34594337844.87276,pts={38|-37:64|-32:77|-16:59|11:23|-3}|label=henry_waypt_survey|label_color=white|edge_color=white|vertex_color=dodger_blue|vertex_size=5|edge_size=1,pHelmIvP:1:waypt_survey
34594337844.87276,pts={38|-37:64|-32:77|-16:59|11:23|-3}|label=henry_waypt_survey|label_color=white|edge_color=white|vertex_color=dodger_blue|vertex_size=5|edge_size=1,pHelmIvP:1:waypt_survey
34594337844.87276,pts={38|-37:64|-32:77|-16:59|11:23|-3}|label=henry_waypt_survey|label_color=white|edge_color=white|vertex_color=dodger_blue|vertex_size=5|edge_size=1,pHelmIvP:1:waypt_survey
