time,data,src
34594337844.873436,type=BHV_StationKeep|name=station-keep|x=0.00|y=0.00|inner_radius=5.0|outer_radius=10.0|hibernation_radius=-1.0|outer_speed=1.0|center_activate=true,pHelmIvP:1:station-keep
34594337844.873436,type=BHV_StationKeep|name=station-keep|x=0.00|y=0.00|inner_radius=5.0|outer_radius=10.0|hibernation_radius=-1.0|outer_speed=1.0|center_activate=true,pHelmIvP:1:station-keep
34594337844.873436,type=BHV_StationKeep|name=station-keep|x=0.00|y=0.00|inner_radius=5.0|outer_radius=10.0|hibernation_radius=-1.0|outer_speed=1.0|center_activate=true,pHelmIvP:1:station-keep
34594337844.873436,type=BHV_StationKeep|name=station-keep|x=0.00|y=0.00|inner_radius=5.0|outer_radius=10.0|hibernation_radius=-1.0|outer_speed=1.0|center_activate=true,pHelmIvP:1:station-keep
