time,data,src
34594337855.186455,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=43|eta=48,pHelmIvP:54:waypt_survey
34594337855.78587,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=43|eta=47,pHelmIvP:57:waypt_survey
34594337855.95961,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=43|eta=46,pHelmIvP:58:waypt_survey
34594337856.15495,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=42|eta=45,pHelmIvP:59:waypt_survey
34594337856.36596,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=42|eta=43,pHelmIvP:60:waypt_survey
34594337856.56116,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=42|eta=42,pHelmIvP:61:waypt_survey
34594337856.92788,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=42|eta=40,pHelmIvP:63:waypt_survey
34594337857.08884,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=41|eta=39,pHelmIvP:64:waypt_survey
34594337857.439415,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=41|eta=38,pHelmIvP:66:waypt_survey
34594337857.815445,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=41|eta=37,pHelmIvP:68:waypt_survey
34594337858.1991,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=40|eta=36,pHelmIvP:70:waypt_survey
34594337858.40356,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=40|eta=35,pHelmIvP:71:waypt_survey
34594337858.60994,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=40|eta=34,pHelmIvP:72:waypt_survey
34594337858.99232,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=39|eta=33,pHelmIvP:74:waypt_survey
34594337859.39492,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=39|eta=32,pHelmIvP:76:waypt_survey
34594337859.79982,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=38|eta=31,pHelmIvP:78:waypt_survey
34594337860.17318,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=38|eta=30,pHelmIvP:80:waypt_survey
34594337860.55016,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=37|eta=29,pHelmIvP:82:waypt_survey
34594337860.96322,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=37|eta=28,pHelmIvP:84:waypt_survey
34594337861.35315,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=36|eta=28,pHelmIvP:86:waypt_survey
34594337861.76414,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=36|eta=27,pHelmIvP:88:waypt_survey
34594337862.11018,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=35|eta=27,pHelmIvP:90:waypt_survey
34594337862.51133,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=35|eta=26,pHelmIvP:92:waypt_survey
34594337862.88855,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=34|eta=26,pHelmIvP:94:waypt_survey
34594337863.47379,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=34|eta=25,pHelmIvP:97:waypt_survey
34594337863.876884,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=33|eta=25,pHelmIvP:99:waypt_survey
34594337864.68584,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=32|eta=25,pHelmIvP:103:waypt_survey
34594337864.89116,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=32|eta=24,pHelmIvP:104:waypt_survey
34594337865.0851,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=31|eta=24,pHelmIvP:105:waypt_survey
34594337865.89606,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=30|eta=24,pHelmIvP:109:waypt_survey
34594337866.88123,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=29|eta=23,pHelmIvP:114:waypt_survey
34594337867.69532,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=28|eta=23,pHelmIvP:118:waypt_survey
34594337868.31566,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=28|eta=22,pHelmIvP:121:waypt_survey
34594337868.716774,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=27|eta=22,pHelmIvP:123:waypt_survey
34594337869.35466,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=26|eta=22,pHelmIvP:126:waypt_survey
34594337870.1253,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=26|eta=21,pHelmIvP:130:waypt_survey
34594337870.312164,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=25|eta=21,pHelmIvP:131:waypt_survey
34594337870.50744,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=25|eta=20,pHelmIvP:132:waypt_survey
34594337871.11369,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=24|eta=20,pHelmIvP:135:waypt_survey
34594337871.515076,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=24|eta=19,pHelmIvP:137:waypt_survey
34594337871.90527,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=23|eta=19,pHelmIvP:139:waypt_survey
34594337872.47435,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=23|eta=18,pHelmIvP:142:waypt_survey
34594337872.6823,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=22|eta=18,pHelmIvP:143:waypt_survey
34594337873.44864,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=21|eta=18,pHelmIvP:147:waypt_survey
34594337873.6595,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=21|eta=17,pHelmIvP:148:waypt_survey
34594337874.078514,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=20|eta=17,pHelmIvP:150:waypt_survey
34594337874.284355,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=20|eta=16,pHelmIvP:151:waypt_survey
34594337875.06472,vname=henry|behavior-name=waypt_survey|index=0|hits=0/0|cycles=0|dist=19|eta=16,pHelmIvP:155:waypt_survey
