time,NAME,X,Y,SPD,HDG,TYPE,MODE,ALLSTOP,TIME,LENGTH,src
34594337858.8583,henry,4.06,-16.92,1.18,122.08,kayak,MODE@ACTIVE:TRAVERSING,clear,46,34594337858.86,4,pNodeReporter
34594337859.4285,henry,4.57,-17.23,1.21,119.86,kayak,MODE@ACTIVE:TRAVERSING,clear,47,34594337859.43,4,pNodeReporter
34594337860.04204,henry,5.36,-17.66,1.25,117.09,kayak,MODE@ACTIVE:TRAVERSING,clear,48,34594337860.04,4,pNodeReporter
34594337860.33208,henry,5.36,-17.66,1.25,117.09,kayak,MODE@ACTIVE:TRAVERSING,clear,49,34594337860.33,4,pNodeReporter
34594337860.90049,henry,6.2,-18.07,1.28,114.91,kayak,MODE@ACTIVE:TRAVERSING,clear,50,34594337860.9,4,pNodeReporter
34594337861.80292,henry,7.36,-18.58,1.31,112.88,kayak,MODE@ACTIVE:TRAVERSING,clear,51,34594337861.8,4,pNodeReporter
34594337865.02112,henry,11.22,-20.12,1.29,111.47,kayak,MODE@ACTIVE:TRAVERSING,clear,52,34594337865.02,4,pNodeReporter
34594337867.33152,henry,13.74,-21.15,1.25,113.18,kayak,MODE@ACTIVE:TRAVERSING,clear,53,34594337867.33,4,pNodeReporter
34594337867.61501,henry,14.32,-21.4,1.23,113.77,kayak,MODE@ACTIVE:TRAVERSING,clear,54,34594337867.61,4,pNodeReporter
34594337869.36029,henry,16.12,-22.23,1.19,116.18,kayak,MODE@ACTIVE:TRAVERSING,clear,55,34594337869.36,4,pNodeReporter
34594337870.48134,henry,17.45,-22.92,1.22,118.25,kayak,MODE@ACTIVE:TRAVERSING,clear,56,34594337870.48,4,pNodeReporter
34594337871.911995,henry,18.73,-23.63,1.22,119.85,kayak,MODE@ACTIVE:TRAVERSING,clear,57,34594337871.91,4,pNodeReporter
34594337872.17144,henry,19.25,-23.93,1.23,120.33,kayak,MODE@ACTIVE:TRAVERSING,clear,58,34594337872.17,4,pNodeReporter
34594337873.35704,henry,20.28,-24.55,1.22,121.38,kayak,MODE@ACTIVE:TRAVERSING,clear,59,34594337873.36,4,pNodeReporter
34594337874.29131,henry,21.51,-25.31,1.23,122.3,kayak,MODE@ACTIVE:TRAVERSING,clear,60,34594337874.29,4,pNodeReporter
34594337874.57712,henry,21.51,-25.31,1.23,122.3,kayak,MODE@ACTIVE:TRAVERSING,clear,61,34594337874.58,4,pNodeReporter
34594337874.858025,henry,22.04,-25.65,1.23,122.61,kayak,MODE@ACTIVE:TRAVERSING,clear,62,34594337874.86,4,pNodeReporter
34594337877.88054,henry,25.04,-27.63,1.22,124.32,kayak,MODE@ACTIVE:TRAVERSING,clear,63,34594337877.88,4,pNodeReporter
34594337881.1493,henry,28.27,-29.88,1.22,125.32,kayak,MODE@ACTIVE:TRAVERSING,clear,64,34594337881.15,4,pNodeReporter
34594337883.53196,henry,30.92,-31.77,1.22,125.77,kayak,MODE@ACTIVE:TRAVERSING,clear,65,34594337883.53,4,pNodeReporter
34594337883.821304,henry,30.92,-31.77,1.22,125.77,kayak,MODE@ACTIVE:TRAVERSING,clear,66,34594337883.82,4,pNodeReporter
34594337886.49544,henry,33.83,-33.88,1.2,126.13,kayak,MODE@ACTIVE:TRAVERSING,clear,67,34594337886.49,4,pNodeReporter
34594337886.77318,henry,33.83,-33.88,1.2,126.13,kayak,MODE@ACTIVE:TRAVERSING,clear,68,34594337886.77,4,pNodeReporter
34594337888.77482,henry,35.99,-35.48,1.21,126.66,kayak,MODE@ACTIVE:TRAVERSING,clear,69,34594337888.77,4,pNodeReporter
34594337889.08744,henry,35.99,-35.48,1.21,126.66,kayak,MODE@ACTIVE:TRAVERSING,clear,70,34594337889.09,4,pNodeReporter
34594337890.57728,henry,37.64,-36.65,1.05,118.37,kayak,MODE@ACTIVE:TRAVERSING,clear,71,34594337890.58,4,pNodeReporter
34594337890.8481,henry,37.64,-36.65,1.05,118.37,kayak,MODE@ACTIVE:TRAVERSING,clear,72,34594337890.85,4,pNodeReporter
34594337891.149155,henry,38.06,-36.85,0.93,113.49,kayak,MODE@ACTIVE:TRAVERSING,clear,73,34594337891.15,4,pNodeReporter
34594337891.722244,henry,38.7,-37.1,0.95,109.24,kayak,MODE@ACTIVE:TRAVERSING,clear,74,34594337891.72,4,pNodeReporter
34594337892.03191,henry,38.7,-37.1,0.95,109.24,kayak,MODE@ACTIVE:TRAVERSING,clear,75,34594337892.03,4,pNodeReporter
34594337892.32259,henry,39.15,-37.25,1,106.63,kayak,MODE@ACTIVE:TRAVERSING,clear,76,34594337892.32,4,pNodeReporter
34594337892.899765,henry,39.64,-37.38,1.02,103.83,kayak,MODE@ACTIVE:TRAVERSING,clear,77,34594337892.9,4,pNodeReporter
34594337893.50164,henry,40.4,-37.53,1.06,99.51,kayak,MODE@ACTIVE:TRAVERSING,clear,78,34594337893.5,4,pNodeReporter
34594337894.10128,henry,40.91,-37.61,1.08,96.82,kayak,MODE@ACTIVE:TRAVERSING,clear,79,34594337894.1,4,pNodeReporter
34594337894.69844,henry,41.72,-37.67,1.11,92.71,kayak,MODE@ACTIVE:TRAVERSING,clear,80,34594337894.7,4,pNodeReporter
