time,data,src
34594337773.26684,collision_range=3|near_miss_range=6|encounter_range=10,uFldCollisionDetect
34594337773.26684,collision_range=3|near_miss_range=6|encounter_range=10,uFldCollisionDetect
34594337773.26684,collision_range=3|near_miss_range=6|encounter_range=10,uFldCollisionDetect
