time,data,src
34594337764.93972,ACK_MESSAGE|APPCAST_REQ|ATURN|ATURN_ENGAGE|AVOID|BCM_DISPLAY_RADII|COMMS_POLICY|CONVOY|CONVOY_UPDATES|DEPLOY|ENCIRCLE_ACTIVE|GATHER|LEADER|LOITER|MEDIATED_MESSAGE|MISSION_TASK|MOOS_MANUAL_OVERRIDE|MUSTER|NODE_MESSAGE|NODE_REPORT|QUIT_MISSION|REALMCAST_REQ|RETURN|RETURN_UPDATES|SAY_VOLUME|STATION|TERM_REPORT_INTERVAL|TOM_PURSUE|TOM_WELCOME|UP_CONVOY|UP_LOITER|UP_MUSTER|USMT_ENABLED|USMT_MOD_TOWLEN|USMT_SET_TOWLEN,uFldShoreBroker
34594337764.93972,ACK_MESSAGE|APPCAST_REQ|ATURN|ATURN_ENGAGE|AVOID|BCM_DISPLAY_RADII|COMMS_POLICY|CONVOY|CONVOY_UPDATES|DEPLOY|ENCIRCLE_ACTIVE|GATHER|LEADER|LOITER|MEDIATED_MESSAGE|MISSION_TASK|MOOS_MANUAL_OVERRIDE|MUSTER|NODE_MESSAGE|NODE_REPORT|QUIT_MISSION|REALMCAST_REQ|RETURN|RETURN_UPDATES|SAY_VOLUME|STATION|TERM_REPORT_INTERVAL|TOM_PURSUE|TOM_WELCOME|UP_CONVOY|UP_LOITER|UP_MUSTER|USMT_ENABLED|USMT_MOD_TOWLEN|USMT_SET_TOWLEN,uFldShoreBroker
34594337764.93972,ACK_MESSAGE|APPCAST_REQ|ATURN|ATURN_ENGAGE|AVOID|BCM_DISPLAY_RADII|COMMS_POLICY|CONVOY|CONVOY_UPDATES|DEPLOY|ENCIRCLE_ACTIVE|GATHER|LEADER|LOITER|MEDIATED_MESSAGE|MISSION_TASK|MOOS_MANUAL_OVERRIDE|MUSTER|NODE_MESSAGE|NODE_REPORT|QUIT_MISSION|REALMCAST_REQ|RETURN|RETURN_UPDATES|SAY_VOLUME|STATION|TERM_REPORT_INTERVAL|TOM_PURSUE|TOM_WELCOME|UP_CONVOY|UP_LOITER|UP_MUSTER|USMT_ENABLED|USMT_MOD_TOWLEN|USMT_SET_TOWLEN,uFldShoreBroker
34594337764.93972,ACK_MESSAGE|APPCAST_REQ|ATURN|ATURN_ENGAGE|AVOID|BCM_DISPLAY_RADII|COMMS_POLICY|CONVOY|CONVOY_UPDATES|DEPLOY|ENCIRCLE_ACTIVE|GATHER|LEADER|LOITER|MEDIATED_MESSAGE|MISSION_TASK|MOOS_MANUAL_OVERRIDE|MUSTER|NODE_MESSAGE|NODE_REPORT|QUIT_MISSION|REALMCAST_REQ|RETURN|RETURN_UPDATES|SAY_VOLUME|STATION|TERM_REPORT_INTERVAL|TOM_PURSUE|TOM_WELCOME|UP_CONVOY|UP_LOITER|UP_MUSTER|USMT_ENABLED|USMT_MOD_TOWLEN|USMT_SET_TOWLEN,uFldShoreBroker
34594337764.93972,ACK_MESSAGE|APPCAST_REQ|ATURN|ATURN_ENGAGE|AVOID|BCM_DISPLAY_RADII|COMMS_POLICY|CONVOY|CONVOY_UPDATES|DEPLOY|ENCIRCLE_ACTIVE|GATHER|LEADER|LOITER|MEDIATED_MESSAGE|MISSION_TASK|MOOS_MANUAL_OVERRIDE|MUSTER|NODE_MESSAGE|NODE_REPORT|QUIT_MISSION|REALMCAST_REQ|RETURN|RETURN_UPDATES|SAY_VOLUME|STATION|TERM_REPORT_INTERVAL|TOM_PURSUE|TOM_WELCOME|UP_CONVOY|UP_LOITER|UP_MUSTER|USMT_ENABLED|USMT_MOD_TOWLEN|USMT_SET_TOWLEN,uFldShoreBroker
34594337764.93972,ACK_MESSAGE|APPCAST_REQ|ATURN|ATURN_ENGAGE|AVOID|BCM_DISPLAY_RADII|COMMS_POLICY|CONVOY|CONVOY_UPDATES|DEPLOY|ENCIRCLE_ACTIVE|GATHER|LEADER|LOITER|MEDIATED_MESSAGE|MISSION_TASK|MOOS_MANUAL_OVERRIDE|MUSTER|NODE_MESSAGE|NODE_REPORT|QUIT_MISSION|REALMCAST_REQ|RETURN|RETURN_UPDATES|SAY_VOLUME|STATION|TERM_REPORT_INTERVAL|TOM_PURSUE|TOM_WELCOME|UP_CONVOY|UP_LOITER|UP_MUSTER|USMT_ENABLED|USMT_MOD_TOWLEN|USMT_SET_TOWLEN,uFldShoreBroker
34594337764.93972,ACK_MESSAGE|APPCAST_REQ|ATURN|ATURN_ENGAGE|AVOID|BCM_DISPLAY_RADII|COMMS_POLICY|CONVOY|CONVOY_UPDATES|DEPLOY|ENCIRCLE_ACTIVE|GATHER|LEADER|LOITER|MEDIATED_MESSAGE|MISSION_TASK|MOOS_MANUAL_OVERRIDE|MUSTER|NODE_MESSAGE|NODE_REPORT|QUIT_MISSION|REALMCAST_REQ|RETURN|RETURN_UPDATES|SAY_VOLUME|STATION|TERM_REPORT_INTERVAL|TOM_PURSUE|TOM_WELCOME|UP_CONVOY|UP_LOITER|UP_MUSTER|USMT_ENABLED|USMT_MOD_TOWLEN|USMT_SET_TOWLEN,uFldShoreBroker
34594337764.93972,ACK_MESSAGE|APPCAST_REQ|ATURN|ATURN_ENGAGE|AVOID|BCM_DISPLAY_RADII|COMMS_POLICY|CONVOY|CONVOY_UPDATES|DEPLOY|ENCIRCLE_ACTIVE|GATHER|LEADER|LOITER|MEDIATED_MESSAGE|MISSION_TASK|MOOS_MANUAL_OVERRIDE|MUSTER|NODE_MESSAGE|NODE_REPORT|QUIT_MISSION|REALMCAST_REQ|RETURN|RETURN_UPDATES|SAY_VOLUME|STATION|TERM_REPORT_INTERVAL|TOM_PURSUE|TOM_WELCOME|UP_CONVOY|UP_LOITER|UP_MUSTER|USMT_ENABLED|USMT_MOD_TOWLEN|USMT_SET_TOWLEN,uFldShoreBroker
34594337764.93972,ACK_MESSAGE|APPCAST_REQ|ATURN|ATURN_ENGAGE|AVOID|BCM_DISPLAY_RADII|COMMS_POLICY|CONVOY|CONVOY_UPDATES|DEPLOY|ENCIRCLE_ACTIVE|GATHER|LEADER|LOITER|MEDIATED_MESSAGE|MISSION_TASK|MOOS_MANUAL_OVERRIDE|MUSTER|NODE_MESSAGE|NODE_REPORT|QUIT_MISSION|REALMCAST_REQ|RETURN|RETURN_UPDATES|SAY_VOLUME|STATION|TERM_REPORT_INTERVAL|TOM_PURSUE|TOM_WELCOME|UP_CONVOY|UP_LOITER|UP_MUSTER|USMT_ENABLED|USMT_MOD_TOWLEN|USMT_SET_TOWLEN,uFldShoreBroker
